County,Total_Workers,Car_Alone,Carpool,Public_Transit,Car_Total,Car_Share,Transit_Share,Car_Cost,Transit_Cost,Weighted_Transportation_Cost
"Lee County, Georgia",16058,13016,670,1982,13686,0.8523,0.1234,9000,900,7781.76
"Liberty County, Georgia",30290,24450,722,2842,25172,0.831,0.0938,9000,900,7563.42
"Lincoln County, Georgia",3138,2470,91,389,2561,0.8161,0.124,9000,900,7456.5
"Long County, Georgia",7308,5684,100,897,5784,0.7915,0.1227,9000,900,7233.93
"Lowndes County, Georgia",53264,44452,1912,4330,46364,0.8705,0.0813,9000,900,7907.67
"Lumpkin County, Georgia",15192,11533,1062,1348,12595,0.8291,0.0887,9000,900,7541.73
"McDuffie County, Georgia",9236,7879,431,517,8310,0.8997,0.056,9000,900,8147.7
"McIntosh County, Georgia",4289,3358,35,271,3393,0.7911,0.0632,9000,900,7176.78
"Macon County, Georgia",3672,2706,129,410,2835,0.7721,0.1117,9000,900,7049.43
"Madison County, Georgia",13014,10666,458,824,11124,0.8548,0.0633,9000,900,7750.17
"Marion County, Georgia",2991,2256,54,507,2310,0.7723,0.1695,9000,900,7103.25
"Meriwether County, Georgia",7824,6762,245,605,7007,0.8956,0.0773,9000,900,8129.97
"Miller County, Georgia",2509,2184,76,176,2260,0.9008,0.0701,9000,900,8170.29
"Mitchell County, Georgia",7666,6581,278,819,6859,0.8947,0.1068,9000,900,8148.42
"Monroe County, Georgia",13313,11246,412,1445,11658,0.8757,0.1085,9000,900,7978.95
"Montgomery County, Georgia",3549,2993,135,228,3128,0.8814,0.0642,9000,900,7990.38
"Morgan County, Georgia",9585,7844,321,774,8165,0.8519,0.0808,9000,900,7739.82
"Murray County, Georgia",18824,16071,862,1510,16933,0.8995,0.0802,9000,900,8167.68
"Muscogee County, Georgia",88331,67666,1429,7891,69095,0.7822,0.0893,9000,900,7120.17
"Newton County, Georgia",53954,41151,1655,4791,42806,0.7934,0.0888,9000,900,7220.52
"Oconee County, Georgia",20537,15302,717,1264,16019,0.78,0.0615,9000,900,7075.35
"Oglethorpe County, Georgia",7060,5922,157,548,6079,0.861,0.0776,9000,900,7818.84
"Paulding County, Georgia",84462,63959,2561,7227,66520,0.7876,0.0856,9000,900,7165.44
"Peach County, Georgia",12332,9578,286,1094,9864,0.79990000000000006,0.0887,9000,900,7278.93
"Pickens County, Georgia",15750,11521,330,1534,11851,0.7524,0.0974,9000,900,6859.26
"Pierce County, Georgia",8606,7261,194,1053,7455,0.8663,0.1224,9000,900,7906.86
"Pike County, Georgia",8681,7068,322,632,7390,0.8513,0.0728,9000,900,7727.22
"Polk County, Georgia",17560,14475,535,1667,15010,0.8548,0.0949,9000,900,7778.61
"Pulaski County, Georgia",3352,2957,16,256,2973,0.8869,0.0764,9000,900,8050.86
"Putnam County, Georgia",9453,7644,445,731,8089,0.8557,0.0773,9000,900,7770.87
"Quitman County, Georgia",485,416,10,53,426,0.8784,0.1093,9000,900,8003.97
"Rabun County, Georgia",7090,4995,176,740,5171,0.7293,0.1044,9000,900,6657.66
"Randolph County, Georgia",2329,1746,9,368,1755,0.7535,0.158,9000,900,6923.7
"Richmond County, Georgia",91699,69689,1850,6745,71539,0.7802,0.0736,9000,900,7088.04
"Rockdale County, Georgia",44116,32983,924,4114,33907,0.7686,0.0933,9000,900,7001.37
"Schley County, Georgia",1911,1587,33,158,1620,0.8477,0.0827,9000,900,7703.73
"Screven County, Georgia",5512,4533,67,521,4600,0.8345,0.0945,9000,900,7595.55
"Seminole County, Georgia",3430,2918,10,352,2928,0.8536,0.1026,9000,900,7774.74
"Spalding County, Georgia",28782,23484,716,2668,24200,0.8408,0.0927,9000,900,7650.63
"Stephens County, Georgia",11264,9542,458,679,10000,0.8878,0.0603,9000,900,8044.47
"Stewart County, Georgia",1394,1234,18,143,1252,0.8981,0.1026,9000,900,8175.24
"Sumter County, Georgia",12518,9339,522,1415,9861,0.7877,0.113,9000,900,7191
"Talbot County, Georgia",2321,1802,34,290,1836,0.791,0.1249,9000,900,7231.41
"Taliaferro County, Georgia",692,540,12,56,552,0.7977,0.0809,9000,900,7252.11
"Tattnall County, Georgia",8330,6356,417,1034,6773,0.8131,0.1241,9000,900,7429.59
"Taylor County, Georgia",2814,2313,17,296,2330,0.828,0.1052,9000,900,7546.68
"Telfair County, Georgia",3212,2863,210,172,3073,0.9567,0.0535,9000,900,8658.45
"Terrell County, Georgia",3044,2183,4,435,2187,0.7185,0.1429,9000,900,6595.11
"Thomas County, Georgia",20533,16020,581,2812,16601,0.8085,0.137,9000,900,7399.8
"Tift County, Georgia",17252,14152,677,1859,14829,0.8596,0.10780000000000001,9000,900,7833.42
"Toombs County, Georgia",10826,8444,305,1420,8749,0.8081,0.1312,9000,900,7390.98
"Towns County, Georgia",4540,3140,162,569,3302,0.7273,0.1253,9000,900,6658.47
"Treutlen County, Georgia",2372,1984,67,319,2051,0.8647,0.1345,9000,900,7903.35
"Troup County, Georgia",30619,24195,672,3280,24867,0.8121,0.1071,9000,900,7405.29
"Turner County, Georgia",3347,2476,163,468,2639,0.7885,0.1398,9000,900,7222.32
"Twiggs County, Georgia",2727,2213,74,237,2287,0.8387,0.0869,9000,900,7626.51
"Union County, Georgia",9392,7513,271,776,7784,0.8288,0.0826,9000,900,7533.54
"Upson County, Georgia",11358,9715,223,830,9938,0.875,0.0731,9000,900,7940.79
