County,Total_Workers,Car_Alone,Carpool,Public_Transit,Car_Total,Car_Share,Transit_Share,Car_Cost,Transit_Cost,Weighted_Transportation_Cost
"Meade County, South Dakota",16130,12426,594,1454,13020,0.8072,0.0901,9000,900,7345.89
"Mellette County, South Dakota",656,436,4,134,440,0.6707,0.2043,9000,900,6220.17
"Miner County, South Dakota",1153,846,61,111,907,0.7866,0.0963,9000,900,7166.07
"Minnehaha County, South Dakota",110460,86787,3578,8636,90365,0.8181,0.0782,9000,900,7433.28
"Moody County, South Dakota",3048,2197,117,235,2314,0.7592,0.0771,9000,900,6902.19
"Oglala Lakota County, South Dakota",3108,2069,22,418,2091,0.6728,0.1345,9000,900,6176.25
"Pennington County, South Dakota",55297,42929,1774,4817,44703,0.8084,0.0871,9000,900,7353.99
"Perkins County, South Dakota",1562,973,60,90,1033,0.6613,0.0576,9000,900,6003.54
"Potter County, South Dakota",1162,838,16,148,854,0.7349,0.1274,9000,900,6728.76
"Roberts County, South Dakota",4238,3270,139,326,3409,0.8044,0.0769,9000,900,7308.81
"Sanborn County, South Dakota",1201,847,21,62,868,0.7227,0.0516,9000,900,6550.74
"Spink County, South Dakota",2957,1964,118,294,2082,0.7041,0.0994,9000,900,6426.36
"Stanley County, South Dakota",1744,1500,65,136,1565,0.8974,0.078,9000,900,8146.8
"Sully County, South Dakota",889,598,40,112,638,0.7177,0.126,9000,900,6572.7
"Todd County, South Dakota",2306,1694,49,317,1743,0.7559,0.1375,9000,900,6926.85
"Tripp County, South Dakota",2529,1820,36,226,1856,0.7339,0.0894,9000,900,6685.56
"Turner County, South Dakota",4519,3627,181,388,3808,0.8427,0.0859,9000,900,7661.61
"Union County, South Dakota",8610,7099,340,612,7439,0.864,0.0711,9000,900,7839.99
"Walworth County, South Dakota",2395,1854,2,221,1856,0.7749,0.0923,9000,900,7057.17
"Yankton County, South Dakota",11420,9075,448,1098,9523,0.8339,0.0961,9000,900,7591.59
"Ziebach County, South Dakota",853,420,0,151,420,0.4924,0.177,9000,900,4590.9
"Anderson County, Tennessee",33590,26449,815,2866,27264,0.8117,0.0853,9000,900,7382.07
"Bedford County, Tennessee",23728,17874,766,3440,18640,0.7856,0.145,9000,900,7200.9
"Benton County, Tennessee",5862,4926,297,283,5223,0.891,0.0483,9000,900,8062.47
"Bledsoe County, Tennessee",5449,4320,140,697,4460,0.8185,0.1279,9000,900,7481.61
"Blount County, Tennessee",66061,53185,1920,4090,55105,0.8342,0.0619,9000,900,7563.51
"Bradley County, Tennessee",50247,39687,1441,5146,41128,0.8185,0.1024,9000,900,7458.66
"Campbell County, Tennessee",15559,12790,570,1305,13360,0.8587,0.0839,9000,900,7803.81
"Cannon County, Tennessee",6268,5231,142,517,5373,0.8572,0.0825,9000,900,7789.05
"Carroll County, Tennessee",11759,9328,513,946,9841,0.8369,0.0804,9000,900,7604.46
"Carter County, Tennessee",22715,19306,1063,1360,20369,0.8967,0.0599,9000,900,8124.21
"Cheatham County, Tennessee",20784,15584,531,2415,16115,0.7754,0.1162,9000,900,7083.18
"Chester County, Tennessee",6928,5887,199,345,6086,0.8785,0.0498,9000,900,7951.32
"Claiborne County, Tennessee",12992,10590,373,1091,10963,0.8438,0.084,9000,900,7669.8
"Clay County, Tennessee",2649,2261,65,157,2326,0.8781,0.0593,9000,900,7956.27
"Cocke County, Tennessee",15024,12001,255,1796,12256,0.8158,0.1195,9000,900,7449.75
"Coffee County, Tennessee",25235,19784,898,2838,20682,0.8196,0.1125,9000,900,7477.65
"Crockett County, Tennessee",6420,5605,248,437,5853,0.9117,0.0681,9000,900,8266.59
"Cumberland County, Tennessee",22576,18211,811,1949,19022,0.8426,0.0863,9000,900,7661.07
"Davidson County, Tennessee",389602,266197,6594,31850,272791,0.7002,0.0818,9000,900,6375.42
"Decatur County, Tennessee",4186,3483,103,399,3586,0.8567,0.0953,9000,900,7796.07
"DeKalb County, Tennessee",8323,6713,366,862,7079,0.8505,0.1036,9000,900,7747.74
"Dickson County, Tennessee",26204,20958,692,2169,21650,0.8262,0.0828,9000,900,7510.32
"Dyer County, Tennessee",15777,13905,593,963,14498,0.9189,0.061,9000,900,8325
"Fayette County, Tennessee",19368,14835,375,2071,15210,0.7853,0.1069,9000,900,7163.91
"Fentress County, Tennessee",7026,5895,318,498,6213,0.8843,0.0709,9000,900,8022.51
"Franklin County, Tennessee",19400,15788,608,1370,16396,0.8452,0.0706,9000,900,7670.34
"Gibson County, Tennessee",21169,17656,708,1966,18364,0.8675,0.0929,9000,900,7891.11
"Giles County, Tennessee",12897,10734,507,1036,11241,0.8716,0.0803,9000,900,7916.67
"Grainger County, Tennessee",9645,7922,387,941,8309,0.8615,0.0976,9000,900,7841.34
"Greene County, Tennessee",28260,23536,883,2168,24419,0.8641,0.0767,9000,900,7845.93
"Grundy County, Tennessee",5020,3953,120,648,4073,0.8114,0.1291,9000,900,7418.79
"Hamblen County, Tennessee",27479,23398,898,2207,24296,0.8842,0.0803,9000,900,8030.07
"Hamilton County, Tennessee",181222,135861,4419,15754,140280,0.7741,0.0869,9000,900,7045.11
"Hancock County, Tennessee",2203,1909,111,209,2020,0.9169,0.0949,9000,900,8337.51
"Hardeman County, Tennessee",8632,6907,301,740,7208,0.835,0.0857,9000,900,7592.13
"Hardin County, Tennessee",10397,8942,349,553,9291,0.8936,0.0532,9000,900,8090.28
"Hawkins County, Tennessee",21561,17451,730,1085,18181,0.8432,0.0503,9000,900,7634.07
"Haywood County, Tennessee",7148,5877,279,599,6156,0.8612,0.0838,9000,900,7826.22
"Henderson County, Tennessee",11130,9416,457,453,9873,0.8871,0.0407,9000,900,8020.53
"Henry County, Tennessee",12654,10595,359,752,10954,0.8657,0.0594,9000,900,7844.76
