County,1 Adult (19-50),2 Adults (19-50),"1 Adult, 1 Child","2 Adults, 2 Children",1 Adult 65+,2 Adults 65+
"Rockingham County, Virginia",1108.32,2216.64,1108.32,2216.64,332.5,664.99
"Russell County, Virginia",1206.8,2413.6,1206.8,2413.6,362.04,724.08
"Scott County, Virginia",1242.93,2485.86,1242.93,2485.86,372.88,745.76
"Shenandoah County, Virginia",1107.7,2215.41,1107.7,2215.41,332.31,664.62
"Smyth County, Virginia",1299.18,2598.36,1299.18,2598.36,389.75,779.51
"Southampton County, Virginia",1157.09,2314.19,1157.09,2314.19,347.13,694.26
"Spotsylvania County, Virginia",1066.96,2133.92,1066.96,2133.92,320.09,640.18
"Stafford County, Virginia",950.66,1901.33,950.66,1901.33,285.2,570.4
"Surry County, Virginia",1096.73,2193.46,1096.73,2193.46,329.02,658.04
"Sussex County, Virginia",1218.84,2437.69,1218.84,2437.69,365.65,731.31
"Tazewell County, Virginia",1226.14,2452.28,1226.14,2452.28,367.84,735.68
"Warren County, Virginia",1088.47,2176.94,1088.47,2176.94,326.54,653.08
"Washington County, Virginia",1272.89,2545.78,1272.89,2545.78,381.87,763.73
"Westmoreland County, Virginia",1096.3,2192.59,1096.3,2192.59,328.89,657.78
"Wise County, Virginia",1228.74,2457.48,1228.74,2457.48,368.62,737.24
"Wythe County, Virginia",1293.35,2586.7,1293.35,2586.7,388.01,776.01
"York County, Virginia",1112.44,2224.88,1112.44,2224.88,333.73,667.46
"Alexandria city, Virginia",892.64,1785.28,892.64,1785.28,267.79,535.59
"Bristol city, Virginia",1306.32,2612.64,1306.32,2612.64,391.9,783.79
"Buena Vista city, Virginia",1221.55,2443.11,1221.55,2443.11,366.47,732.93
"Charlottesville city, Virginia",925.92,1851.84,925.92,1851.84,277.78,555.55
"Chesapeake city, Virginia",1184.4,2368.79,1184.4,2368.79,355.32,710.64
"Colonial Heights city, Virginia",1298.07,2596.14,1298.07,2596.14,389.42,778.84
"Covington city, Virginia",1194.86,2389.72,1194.86,2389.72,358.46,716.91
"Danville city, Virginia",1328.19,2656.38,1328.19,2656.38,398.46,796.92
"Emporia city, Virginia",1355.11,2710.22,1355.11,2710.22,406.53,813.07
"Fairfax city, Virginia",862.24,1724.49,862.24,1724.49,258.67,517.35
"Falls Church city, Virginia",866.76,1733.51,866.76,1733.51,260.03,520.05
"Franklin city, Virginia",1482.93,2965.86,1482.93,2965.86,444.88,889.76
"Fredericksburg city, Virginia",1220.98,2441.96,1220.98,2441.96,366.29,732.59
"Galax city, Virginia",1372.35,2744.7,1372.35,2744.7,411.71,823.41
"Hampton city, Virginia",1295.37,2590.73,1295.37,2590.73,388.61,777.22
"Harrisonburg city, Virginia",1092.83,2185.66,1092.83,2185.66,327.85,655.7
"Hopewell city, Virginia",1243.48,2486.97,1243.48,2486.97,373.04,746.09
"Lexington city, Virginia",939.74,1879.48,939.74,1879.48,281.92,563.85
"Lynchburg city, Virginia",1211.06,2422.11,1211.06,2422.11,363.32,726.63
"Manassas city, Virginia",1016.45,2032.9,1016.45,2032.9,304.94,609.87
"Manassas Park city, Virginia",1008.94,2017.88,1008.94,2017.88,302.68,605.36
"Martinsville city, Virginia",1365.25,2730.51,1365.25,2730.51,409.58,819.15
"Newport News city, Virginia",1300.63,2601.26,1300.63,2601.26,390.19,780.38
"Norfolk city, Virginia",1283.89,2567.79,1283.89,2567.79,385.17,770.34
"Norton city, Virginia",1276.94,2553.87,1276.94,2553.87,383.08,766.16
"Petersburg city, Virginia",1360.78,2721.55,1360.78,2721.55,408.23,816.47
"Poquoson city, Virginia",1206.55,2413.09,1206.55,2413.09,361.96,723.93
"Portsmouth city, Virginia",1221.08,2442.17,1221.08,2442.17,366.33,732.65
"Radford city, Virginia",1316.68,2633.37,1316.68,2633.37,395.01,790.01
"Richmond city, Virginia",1173.28,2346.55,1173.28,2346.55,351.98,703.97
"Roanoke city, Virginia",1334.61,2669.22,1334.61,2669.22,400.38,800.77
"Salem city, Virginia",1242.37,2484.73,1242.37,2484.73,372.71,745.42
"Staunton city, Virginia",1306.98,2613.96,1306.98,2613.96,392.09,784.19
"Suffolk city, Virginia",1260.25,2520.49,1260.25,2520.49,378.07,756.15
"Virginia Beach city, Virginia",1187.22,2374.45,1187.22,2374.45,356.17,712.33
"Waynesboro city, Virginia",1283.23,2566.46,1283.23,2566.46,384.97,769.94
"Williamsburg city, Virginia",954.83,1909.66,954.83,1909.66,286.45,572.9
"Winchester city, Virginia",1294.47,2588.94,1294.47,2588.94,388.34,776.68
