County,Car_Share,Transit_Share,avg_vehicles_per_household,scaled_car_cost,Transit_Cost,Transportation_Cost,Assigned_Transit_Cost.x,Assigned_Transit_Cost.y
"Rappahannock County, Virginia",0.7007,0.0558,1.82,16380,900,11527.69,NA,NA
"Richmond County, Virginia",0.7598,0.0722,1.6,14400,900,11006.1,NA,NA
"Roanoke County, Virginia",0.8131,0.0553,1.9,17100,900,13953.78,NA,NA
"Rockbridge County, Virginia",0.8018,0.0825,1.84,16560,900,13352.06,NA,NA
"Rockingham County, Virginia",0.811,0.0985,1.81,16290,900,13299.84,NA,NA
"Russell County, Virginia",0.8221,0.1419,1.94,17460,900,14481.58,NA,NA
"Scott County, Virginia",0.897,0.0676,1.84,16560,900,14915.16,NA,NA
"Shenandoah County, Virginia",0.806,0.1002,1.82,16380,900,13292.46,NA,NA
"Smyth County, Virginia",0.8571,0.0947,2.01,18090,900,15590.17,NA,NA
"Southampton County, Virginia",0.7971,0.1236,1.92,17280,900,13885.13,NA,NA
"Spotsylvania County, Virginia",0.7473,0.1022,1.89,17010,900,12803.55,NA,NA
"Stafford County, Virginia",0.6867,0.1089,1.83,16470,900,11407.96,NA,NA
"Surry County, Virginia",0.7827,0.1431,1.85,16650,900,13160.75,NA,NA
"Sussex County, Virginia",0.8706,0.0581,1.86,16740,900,14626.13,NA,NA
"Tazewell County, Virginia",0.847,0.0861,1.92,17280,900,14713.65,NA,NA
"Warren County, Virginia",0.7544,0.1039,1.91,17190,900,13061.65,NA,NA
"Washington County, Virginia",0.8532,0.0785,1.98,17820,900,15274.67,NA,NA
"Westmoreland County, Virginia",0.7813,0.0851,1.86,16740,900,13155.55,NA,NA
"Wise County, Virginia",0.8402,0.0833,1.94,17460,900,14744.86,NA,NA
"Wythe County, Virginia",0.853,0.0994,2.01,18090,900,15520.23,NA,NA
"York County, Virginia",0.7764,0.0809,1.9,17100,900,13349.25,NA,NA
"Alexandria city, Virginia",0.508,0.0655,2.33,20970,900,10711.71,NA,NA
"Bristol city, Virginia",0.8231,0.0502,2.11,18990,900,15675.85,NA,NA
"Buena Vista city, Virginia",0.8582,0.0674,1.89,17010,900,14658.64,NA,NA
"Charlottesville city, Virginia",0.5487,0.0547,2.24,20160,900,11111.02,0,0
"Chesapeake city, Virginia",0.7975,0.0812,1.97,17730,900,14212.75,NA,NA
"Colonial Heights city, Virginia",0.8173,0.0626,2.11,18990,900,15576.87,NA,NA
"Covington city, Virginia",0.8877,0.0416,1.79,16110,900,14338.29,NA,NA
"Danville city, Virginia",0.7858,0.1073,2.24,20160,900,15938.3,240,240
"Emporia city, Virginia",0.8355,0.1049,2.15,19350,900,16261.34,NA,NA
"Fairfax city, Virginia",0.5846,0.0969,1.95,17550,900,10346.94,NA,NA
"Falls Church city, Virginia",0.5357,0.0392,2.15,19350,900,10401.07,NA,NA
"Franklin city, Virginia",0.9097,0.0319,2.17,19530,900,17795.15,NA,NA
"Fredericksburg city, Virginia",0.6789,0.1219,2.38,21420,900,14651.75,NA,NA
"Galax city, Virginia",0.8473,0.1658,2.14,19260,900,16468.22,NA,NA
"Hampton city, Virginia",0.7993,0.0866,2.15,19350,900,15544.4,NA,NA
"Harrisonburg city, Virginia",0.7184,0.1312,2.01,18090,900,13113.94,0,0
"Hopewell city, Virginia",0.8126,0.084,2.03,18270,900,14921.8,NA,NA
"Lexington city, Virginia",0.5686,0.0207,2.2,19800,900,11276.91,NA,NA
"Lynchburg city, Virginia",0.7303,0.0808,2.2,19800,900,14532.66,480,480
"Manassas city, Virginia",0.7027,0.1311,1.91,17190,900,12197.4,NA,NA
