County,1 Adult (19-50),2 Adults (19-50),"1 Adult, 1 Child","2 Adults, 2 Children",1 Adult 65+,2 Adults 65+
"Scott County, Virginia",1056.49,2112.98,1056.49,2112.98,316.95,633.89
"Shenandoah County, Virginia",941.55,1883.1,941.55,1883.1,282.46,564.93
"Smyth County, Virginia",1104.3,2208.61,1104.3,2208.61,331.29,662.58
"Southampton County, Virginia",983.53,1967.06,983.53,1967.06,295.06,590.12
"Spotsylvania County, Virginia",906.92,1813.84,906.92,1813.84,272.08,544.15
"Stafford County, Virginia",808.06,1616.13,808.06,1616.13,242.42,484.84
"Surry County, Virginia",932.22,1864.44,932.22,1864.44,279.67,559.33
"Sussex County, Virginia",1036.02,2072.04,1036.02,2072.04,310.81,621.61
"Tazewell County, Virginia",1042.22,2084.43,1042.22,2084.43,312.67,625.33
"Warren County, Virginia",925.2,1850.4,925.2,1850.4,277.56,555.12
"Washington County, Virginia",1081.96,2163.91,1081.96,2163.91,324.59,649.17
"Westmoreland County, Virginia",931.85,1863.7,931.85,1863.7,279.56,559.11
"Wise County, Virginia",1044.43,2088.86,1044.43,2088.86,313.33,626.66
"Wythe County, Virginia",1099.35,2198.7,1099.35,2198.7,329.8,659.61
"York County, Virginia",945.57,1891.14,945.57,1891.14,283.67,567.34
"Alexandria city, Virginia",758.75,1517.49,758.75,1517.49,227.62,455.25
"Bristol city, Virginia",1110.37,2220.75,1110.37,2220.75,333.11,666.22
"Buena Vista city, Virginia",1038.32,2076.64,1038.32,2076.64,311.5,622.99
"Charlottesville city, Virginia",787.03,1574.06,787.03,1574.06,236.11,472.22
"Chesapeake city, Virginia",1006.74,2013.47,1006.74,2013.47,302.02,604.04
"Colonial Heights city, Virginia",1103.36,2206.72,1103.36,2206.72,331.01,662.02
"Covington city, Virginia",1015.63,2031.26,1015.63,2031.26,304.69,609.38
"Danville city, Virginia",1128.96,2257.93,1128.96,2257.93,338.69,677.38
"Emporia city, Virginia",1151.84,2303.69,1151.84,2303.69,345.55,691.11
"Fairfax city, Virginia",732.91,1465.82,732.91,1465.82,219.87,439.74
"Falls Church city, Virginia",736.74,1473.48,736.74,1473.48,221.02,442.05
"Franklin city, Virginia",1260.49,2520.98,1260.49,2520.98,378.15,756.29
"Fredericksburg city, Virginia",1037.83,2075.66,1037.83,2075.66,311.35,622.7
"Galax city, Virginia",1166.5,2333,1166.5,2333,349.95,699.9
"Hampton city, Virginia",1101.06,2202.12,1101.06,2202.12,330.32,660.64
"Harrisonburg city, Virginia",928.9,1857.81,928.9,1857.81,278.67,557.34
"Hopewell city, Virginia",1056.96,2113.92,1056.96,2113.92,317.09,634.18
"Lexington city, Virginia",798.78,1597.56,798.78,1597.56,239.63,479.27
"Lynchburg city, Virginia",1029.4,2058.79,1029.4,2058.79,308.82,617.64
"Manassas city, Virginia",863.98,1727.96,863.98,1727.96,259.19,518.39
"Manassas Park city, Virginia",857.6,1715.2,857.6,1715.2,257.28,514.56
"Martinsville city, Virginia",1160.47,2320.93,1160.47,2320.93,348.14,696.28
"Newport News city, Virginia",1105.53,2211.07,1105.53,2211.07,331.66,663.32
"Norfolk city, Virginia",1091.31,2182.62,1091.31,2182.62,327.39,654.79
"Norton city, Virginia",1085.4,2170.79,1085.4,2170.79,325.62,651.24
"Petersburg city, Virginia",1156.66,2313.32,1156.66,2313.32,347,694
"Poquoson city, Virginia",1025.56,2051.13,1025.56,2051.13,307.67,615.34
