County,1 Adult (19-50),2 Adults (19-50),"1 Adult, 1 Child","2 Adults, 2 Children",1 Adult 65+,2 Adults 65+
Page,1576.49,3152.98,1576.49,3152.98,788.24,1576.49
Patrick,1514.77,3029.54,1514.77,3029.54,757.38,1514.77
Petersburg,1917,3834,1917,3834,958.5,1917
Pittsylvania,1751.4,3502.8,1751.4,3502.8,875.7,1751.4
Poquoson,1652.29,3304.58,1652.29,3304.58,826.14,1652.29
Portsmouth,1758.57,3517.14,1758.57,3517.14,879.28,1758.57
Powhatan,1387.59,2775.18,1387.59,2775.18,693.8,1387.59
Prince Edward,1643.57,3287.14,1643.57,3287.14,821.78,1643.57
Prince George,1375.86,2751.72,1375.86,2751.72,687.93,1375.86
Prince William,1441.22,2882.44,1441.22,2882.44,720.61,1441.22
Pulaski,1853.52,3707.04,1853.52,3707.04,926.76,1853.52
Radford,1827.41,3654.82,1827.41,3654.82,913.7,1827.41
Rappahannock,1342.23,2684.46,1342.23,2684.46,671.12,1342.23
Richmond,1650.17,3300.34,1650.17,3300.34,825.08,1650.17
Richmond,1302.32,2604.64,1302.32,2604.64,651.16,1302.32
Roanoke,1859.67,3719.34,1859.67,3719.34,929.84,1859.67
Roanoke,1611.25,3222.5,1611.25,3222.5,805.62,1611.25
Rockbridge,1574.31,3148.62,1574.31,3148.62,787.16,1574.31
Rockingham,1586.11,3172.22,1586.11,3172.22,793.06,1586.11
Russell,1765.15,3530.3,1765.15,3530.3,882.58,1765.15
Salem,1734.15,3468.3,1734.15,3468.3,867.08,1734.15
Scott,1731.6,3463.2,1731.6,3463.2,865.8,1731.6
Shenandoah,1587.16,3174.32,1587.16,3174.32,793.58,1587.16
Smyth,1836.41,3672.82,1836.41,3672.82,918.2,1836.41
Southampton,1678.75,3357.5,1678.75,3357.5,839.38,1678.75
Spotsylvania,1535.04,3070.08,1535.04,3070.08,767.52,1535.04
Stafford,1387.34,2774.68,1387.34,2774.68,693.67,1387.34
Staunton,1839.55,3679.1,1839.55,3679.1,919.78,1839.55
Suffolk,1752.27,3504.54,1752.27,3504.54,876.14,1752.27
Surry,1619.71,3239.42,1619.71,3239.42,809.86,1619.71
Sussex,1689.04,3378.08,1689.04,3378.08,844.52,1689.04
Tazewell,1729.56,3459.12,1729.56,3459.12,864.78,1729.56
Virginia Beach,1665.24,3330.48,1665.24,3330.48,832.62,1665.24
Warren,1565.58,3131.16,1565.58,3131.16,782.79,1565.58
Washington,1783.54,3567.08,1783.54,3567.08,891.77,1783.54
Waynesboro,1832.3,3664.6,1832.3,3664.6,916.15,1832.3
Westmoreland,1555.34,3110.68,1555.34,3110.68,777.67,1555.34
Williamsburg,1339.11,2678.22,1339.11,2678.22,669.56,1339.11
Winchester,1822.54,3645.08,1822.54,3645.08,911.27,1822.54
Wise,1729.95,3459.9,1729.95,3459.9,864.98,1729.95
Wythe,1833.81,3667.62,1833.81,3667.62,916.9,1833.81
York,1572.24,3144.48,1572.24,3144.48,786.12,1572.24
