County,Transportation_Cost,1 Adult (19–50),2 Adults (19–50),"1 Adult, 1 Child","2 Adults, 2 Children",1 Adult 65+,2 Adults 65+,
"Page County, Virginia",12621.22,1051.77,2103.54,1051.77,2103.54,525.88,1051.77,
"Patrick County, Virginia",12704.28,1058.69,2117.38,1058.69,2117.38,529.34,1058.69,
"Pittsylvania County, Virginia",15101.28,1258.44,2516.88,1258.44,2516.88,629.22,1258.44,
"Powhatan County, Virginia",11955.66,996.3,1992.61,996.3,1992.61,498.15,996.3,
"Prince Edward County, Virginia",13211.14,1100.93,2201.86,1100.93,2201.86,550.46,1100.93,
"Prince George County, Virginia",11663.02,971.92,1943.84,971.92,1943.84,485.96,971.92,
"Prince William County, Virginia",11989.93,999.16,1998.32,999.16,1998.32,499.58,999.16,
"Pulaski County, Virginia",15897.6,1324.8,2649.6,1324.8,2649.6,662.4,1324.8,
"Rappahannock County, Virginia",11527.69,960.64,1921.28,960.64,1921.28,480.32,960.64,
"Richmond County, Virginia",11006.1,917.18,1834.35,917.18,1834.35,458.59,917.18,
"Roanoke County, Virginia",13953.78,1162.82,2325.63,1162.82,2325.63,581.41,1162.82,
"Rockbridge County, Virginia",13352.06,1112.67,2225.34,1112.67,2225.34,556.34,1112.67,
"Rockingham County, Virginia",13299.84,1108.32,2216.64,1108.32,2216.64,554.16,1108.32,
"Russell County, Virginia",14481.58,1206.8,2413.6,1206.8,2413.6,603.4,1206.8,
"Scott County, Virginia",14915.16,1242.93,2485.86,1242.93,2485.86,621.46,1242.93,
"Shenandoah County, Virginia",13292.46,1107.7,2215.41,1107.7,2215.41,553.85,1107.7,
"Smyth County, Virginia",15590.17,1299.18,2598.36,1299.18,2598.36,649.59,1299.18,
"Southampton County, Virginia",13885.13,1157.09,2314.19,1157.09,2314.19,578.55,1157.09,
"Spotsylvania County, Virginia",12803.55,1066.96,2133.92,1066.96,2133.92,533.48,1066.96,
"Stafford County, Virginia",11407.96,950.66,1901.33,950.66,1901.33,475.33,950.66,
"Surry County, Virginia",13160.75,1096.73,2193.46,1096.73,2193.46,548.36,1096.73,
"Sussex County, Virginia",14626.13,1218.84,2437.69,1218.84,2437.69,609.42,1218.84,
"Tazewell County, Virginia",14713.65,1226.14,2452.28,1226.14,2452.28,613.07,1226.14,
"Warren County, Virginia",13061.65,1088.47,2176.94,1088.47,2176.94,544.24,1088.47,
"Washington County, Virginia",15274.67,1272.89,2545.78,1272.89,2545.78,636.44,1272.89,
"Westmoreland County, Virginia",13155.55,1096.3,2192.59,1096.3,2192.59,548.15,1096.3,
"Wise County, Virginia",14744.86,1228.74,2457.48,1228.74,2457.48,614.37,1228.74,
"Wythe County, Virginia",15520.23,1293.35,2586.7,1293.35,2586.7,646.68,1293.35,
"York County, Virginia",13349.25,1112.44,2224.88,1112.44,2224.88,556.22,1112.44,
"Alexandria city, Virginia",10711.71,892.64,1785.28,892.64,1785.28,446.32,892.64,
"Bristol city, Virginia",15675.85,1306.32,2612.64,1306.32,2612.64,653.16,1306.32,
"Buena Vista city, Virginia",14658.64,1221.55,2443.11,1221.55,2443.11,610.78,1221.55,
"Charlottesville city, Virginia",11111.02,925.92,1851.84,925.92,1851.84,462.96,925.92,
"Chesapeake city, Virginia",14212.75,1184.4,2368.79,1184.4,2368.79,592.2,1184.4,
"Colonial Heights city, Virginia",15576.87,1298.07,2596.14,1298.07,2596.14,649.04,1298.07,
"Covington city, Virginia",14338.29,1194.86,2389.72,1194.86,2389.72,597.43,1194.86,
"Danville city, Virginia",15938.3,1328.19,2656.38,1328.19,2656.38,664.1,1328.19,
"Emporia city, Virginia",16261.34,1355.11,2710.22,1355.11,2710.22,677.56,1355.11,
"Fairfax city, Virginia",10346.94,862.24,1724.49,862.24,1724.49,431.12,862.24,
"Falls Church city, Virginia",10401.07,866.76,1733.51,866.76,1733.51,433.38,866.76,
"Franklin city, Virginia",17795.15,1482.93,2965.86,1482.93,2965.86,741.46,1482.93,
