County,1 Adult (19-50),2 Adults (19-50),"1 Adult, 1 Child","2 Adults, 2 Children",1 Adult 65+,2 Adults 65+
Patrick,1058.69,2117.38,1058.69,2117.38,529.34,1058.69
Petersburg,1360.78,2721.55,1360.78,2721.55,680.39,1360.78
Pittsylvania,1258.44,2516.88,1258.44,2516.88,629.22,1258.44
Poquoson,1206.55,2413.09,1206.55,2413.09,603.27,1206.55
Portsmouth,1221.08,2442.17,1221.08,2442.17,610.54,1221.08
Powhatan,996.3,1992.61,996.3,1992.61,498.15,996.3
Prince Edward,1100.93,2201.86,1100.93,2201.86,550.46,1100.93
Prince George,971.92,1943.84,971.92,1943.84,485.96,971.92
Prince William,999.16,1998.32,999.16,1998.32,499.58,999.16
Pulaski,1324.8,2649.6,1324.8,2649.6,662.4,1324.8
Radford,1316.68,2633.37,1316.68,2633.37,658.34,1316.68
Rappahannock,960.64,1921.28,960.64,1921.28,480.32,960.64
Richmond,1173.28,2346.55,1173.28,2346.55,586.64,1173.28
Richmond,917.18,1834.35,917.18,1834.35,458.59,917.18
Roanoke,1334.61,2669.22,1334.61,2669.22,667.3,1334.61
Roanoke,1162.82,2325.63,1162.82,2325.63,581.41,1162.82
Rockbridge,1112.67,2225.34,1112.67,2225.34,556.34,1112.67
Rockingham,1108.32,2216.64,1108.32,2216.64,554.16,1108.32
Russell,1206.8,2413.6,1206.8,2413.6,603.4,1206.8
Salem,1242.37,2484.73,1242.37,2484.73,621.18,1242.37
Scott,1242.93,2485.86,1242.93,2485.86,621.46,1242.93
Shenandoah,1107.7,2215.41,1107.7,2215.41,553.85,1107.7
Smyth,1299.18,2598.36,1299.18,2598.36,649.59,1299.18
Southampton,1157.09,2314.19,1157.09,2314.19,578.55,1157.09
Spotsylvania,1066.96,2133.92,1066.96,2133.92,533.48,1066.96
Stafford,950.66,1901.33,950.66,1901.33,475.33,950.66
Staunton,1306.98,2613.96,1306.98,2613.96,653.49,1306.98
Suffolk,1260.25,2520.49,1260.25,2520.49,630.12,1260.25
Surry,1096.73,2193.46,1096.73,2193.46,548.36,1096.73
