County,1 Adult (19-50),2 Adults (19-50),1 Adult + 1 Child (6-10),2 Adults + 2 Children (6-10),1 Adult (65+),2 Adults (65+)
Pulaski County,5018.87,18917.26,9440.18,38915.73,6022.68,25661.95
Radford City,5679.27,20640.25,10063.6,41747.36,6603.83,26987.33
Rappahannock County,6508.74,23055.38,11342.14,45748.18,7465,29623.35
Richmond County,5515.5,21288.21,10470.41,44177.7,6545.72,28268.52
Richmond City,7723.87,27164.04,12973.85,49784.71,8769.95,34490.11
Roanoke County,5732.11,22186.52,10845.51,44969.43,6698.93,28783.95
Roanoke City,5150.95,19741.94,10021.34,41280.61,6107.21,26295.19
Rockbridge County,4733.58,19329.6,9836.42,39802.56,5462.66,24631.1
Rockingham County,5404.55,19447.41,10095.3,42198.55,6387.22,26089.02
Russell County,4569.8,17356.26,8864.31,38340.07,5515.5,23850.6
Salem City,5747.96,21818.36,10734.57,44138.76,6788.75,28813.4
Scott County,4490.55,17474.07,8922.43,37873.32,5388.7,23703.34
Shenandoah County,4971.33,19859.75,10190.4,42914.24,5959.28,26560.26
Smyth County,4332.06,18593.28,9302.82,38682.35,5209.07,24748.92
Southampton County,5642.29,20110.1,10438.71,41420.63,6529.87,26251.01
Spotsylvania County,10117.16,33572.16,16221.02,55716.21,11179.09,41273.57
Stafford County,10529.25,34941.3,16854.26,57182.86,11548.91,42487.13
Staunton City,5821.92,21023.14,10618.34,43209.85,6735.91,27311.31
Suffolk City,7248.38,25205.43,12222.81,47695.06,8146.53,31464.15
Surry County,5108.69,20581.34,10317.19,44190.68,6138.91,27517.48
Sussex County,7501.98,26059.56,12509.97,47993.58,8458.24,32778.69
Tazewell County,4485.27,16929.2,8732.23,37546.59,5261.9,22436.87
Virginia Beach City,8204.64,28194.89,13673.36,51147.53,9113.35,34754.6
Warren County,5806.07,21155.67,10634.19,44813.68,6825.73,28032.9
Washington County,4855.1,18843.63,9360.94,40284.87,5742.67,24984.54
Waynesboro City,5742.67,20625.52,10486.26,42587.51,6757.05,27488.03
Westmoreland County,5378.13,20110.1,10079.45,43194.29,6286.84,26368.82
Williamsburg City,7644.62,27193.5,12679.32,50200.05,8489.94,33307.67
Winchester City,7295.93,25220.16,12108.2,49278.52,8178.23,31405.25
Wise County,4617.35,18313.48,9197.16,38791.26,5700.41,25573.59
Wythe County,4654.33,17665.52,8969.98,38822.38,5531.34,23776.97
York County,8410.69,28592.51,13548.18,50797.09,9292.98,34987.98
Bristol City,4855.1,18976.17,9408.48,40409.34,5806.07,25485.24
